borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_datetime,hour,day_of_week,month,location_string,all_factors,vehicle_types
,,,,,WHITESTONE EXPRESSWAY,20 AVENUE,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,,,,4455765,Sedan,Sedan,,,,2021-09-11 02:39:00,2,Saturday,9,WHITESTONE EXPRESSWAY_20 AVENUE,"['Aggressive Driving/Road Rage', 'Unspecified']","['Sedan', 'Sedan']"
,,,,,QUEENSBORO BRIDGE UPPER,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,4513547,Sedan,,,,,2022-03-26 11:45:00,11,Saturday,3,QUEENSBORO BRIDGE UPPER,['Pavement Slippery'],['Sedan']
BROOKLYN,11230,40.62179,-73.970024,"(40.62179, -73.970024)",OCEAN PARKWAY,AVENUE K,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,4675373,Moped,Sedan,Sedan,,,2023-11-01 01:29:00,1,Wednesday,11,OCEAN PARKWAY_AVENUE K,['Unspecified'],"['Moped', 'Sedan', 'Sedan']"
,,,,,THROGS NECK BRIDGE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4541903,Sedan,Pick-up Truck,,,,2022-06-29 06:55:00,6,Wednesday,6,THROGS NECK BRIDGE,"['Following Too Closely', 'Unspecified']","['Sedan', 'Pick-up Truck']"
BROOKLYN,11201,,,,BROOKLYN BRIDGE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4566131,Station Wagon/Sport Utility Vehicle,,,,,2022-09-21 13:21:00,13,Wednesday,9,BROOKLYN BRIDGE,"['Passing Too Closely', 'Unspecified']",['Station Wagon/Sport Utility Vehicle']
,,,,,WEST 54 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4623759,Sedan,Box Truck,,,,2023-04-26 13:30:00,13,Wednesday,4,WEST 54 STREET,['Unspecified'],"['Sedan', 'Box Truck']"
,,,,,HUTCHINSON RIVER PARKWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4675709,Sedan,Station Wagon/Sport Utility Vehicle,,,,2023-11-01 07:12:00,7,Wednesday,11,HUTCHINSON RIVER PARKWAY,"['Following Too Closely', 'Driver Inattention/Distraction']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
,,,,,WEST 35 STREET,HENRY HUDSON RIVER,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4675769,Sedan,,,,,2023-11-01 08:01:00,8,Wednesday,11,WEST 35 STREET_HENRY HUDSON RIVER,['Failure to Yield Right-of-Way'],['Sedan']
BROOKLYN,11208,40.667202,-73.8665,"(40.667202, -73.8665)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4456314,Sedan,,,,,2021-09-11 09:35:00,9,Saturday,9,1211      LORING AVENUE,['Unspecified'],['Sedan']
BROOKLYN,11233,40.683304,-73.917274,"(40.683304, -73.917274)",SARATOGA AVENUE,DECATUR STREET,0,0,0,0,0,0,0,0,,,,,,4486609,,,,,,2021-12-14 08:13:00,8,Tuesday,12,SARATOGA AVENUE_DECATUR STREET,[],[]
,,,,,MAJOR DEEGAN EXPRESSWAY RAMP,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407458,Dump,Sedan,,,,2021-04-14 12:47:00,12,Wednesday,4,MAJOR DEEGAN EXPRESSWAY RAMP,['Unspecified'],"['Dump', 'Sedan']"
,,40.709183,-73.956825,"(40.709183, -73.956825)",BROOKLYN QUEENS EXPRESSWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486555,Sedan,Tractor Truck Diesel,,,,2021-12-14 17:05:00,17,Tuesday,12,BROOKLYN QUEENS EXPRESSWAY,"['Passing Too Closely', 'Unspecified']","['Sedan', 'Tractor Truck Diesel']"
BRONX,10475,40.86816,-73.83148,"(40.86816, -73.83148)",,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4486660,Sedan,Sedan,,,,2021-12-14 08:17:00,8,Tuesday,12,344       BAYCHESTER AVENUE,['Unspecified'],"['Sedan', 'Sedan']"
BROOKLYN,11207,40.67172,-73.8971,"(40.67172, -73.8971)",,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4487074,Sedan,,,,,2021-12-14 21:10:00,21,Tuesday,12,2047      PITKIN AVENUE,"['Driver Inexperience', 'Unspecified']",['Sedan']
MANHATTAN,10017,40.75144,-73.97397,"(40.75144, -73.97397)",3 AVENUE,EAST 43 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486519,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-12-14 14:58:00,14,Tuesday,12,3 AVENUE_EAST 43 STREET,"['Passing Too Closely', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
,,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4486934,Station Wagon/Sport Utility Vehicle,,,,,2021-12-13 00:34:00,0,Monday,12,MYRTLE AVENUE,"['Passing or Lane Usage Improper', 'Unspecified']",['Station Wagon/Sport Utility Vehicle']
